beat_of_occurrence,total_num_units,crash_season
921,2081,WINTER_AUTUMN
922,2480,SUMMER_SPRING
922,3170,WINTER_AUTUMN
923,1964,SUMMER_SPRING
923,2501,WINTER_AUTUMN
924,1712,SUMMER_SPRING
924,2256,WINTER_AUTUMN
925,1140,SUMMER_SPRING
925,1329,WINTER_AUTUMN
931,880,SUMMER_SPRING
931,1335,WINTER_AUTUMN
932,625,SUMMER_SPRING
932,957,WINTER_AUTUMN
933,534,SUMMER_SPRING
933,761,WINTER_AUTUMN
934,472,SUMMER_SPRING
934,690,WINTER_AUTUMN
935,1129,SUMMER_SPRING
935,1275,WINTER_AUTUMN
1011,1277,SUMMER_SPRING
1011,1547,WINTER_AUTUMN
1012,1140,SUMMER_SPRING
1012,1340,WINTER_AUTUMN
1013,2359,SUMMER_SPRING
1013,2719,WINTER_AUTUMN
1014,883,SUMMER_SPRING
1014,1342,WINTER_AUTUMN
1021,697,SUMMER_SPRING
1021,871,WINTER_AUTUMN
1022,1625,SUMMER_SPRING
1022,2149,WINTER_AUTUMN
1023,1673,SUMMER_SPRING
1023,2174,WINTER_AUTUMN
1024,1051,SUMMER_SPRING
1024,1263,WINTER_AUTUMN
1031,2171,SUMMER_SPRING
1031,3203,WINTER_AUTUMN
1032,1067,SUMMER_SPRING
1032,1571,WINTER_AUTUMN
1033,1790,SUMMER_SPRING
1033,2350,WINTER_AUTUMN
1034,2669,SUMMER_SPRING
1034,3708,WINTER_AUTUMN
1111,2236,SUMMER_SPRING
1111,2362,WINTER_AUTUMN
1112,1652,SUMMER_SPRING
1112,1880,WINTER_AUTUMN
1113,2480,SUMMER_SPRING
1113,2371,WINTER_AUTUMN
1114,990,SUMMER_SPRING
1114,931,WINTER_AUTUMN
1115,1603,SUMMER_SPRING
1115,1237,WINTER_AUTUMN
1121,1861,SUMMER_SPRING
1121,1853,WINTER_AUTUMN
1122,2489,SUMMER_SPRING
1122,2635,WINTER_AUTUMN
1123,1292,SUMMER_SPRING
1123,1400,WINTER_AUTUMN
1124,1032,SUMMER_SPRING
1124,974,WINTER_AUTUMN
1125,534,SUMMER_SPRING
1125,692,WINTER_AUTUMN
1131,2156,SUMMER_SPRING
1131,2206,WINTER_AUTUMN
1132,1580,SUMMER_SPRING
1132,1526,WINTER_AUTUMN
1133,2478,SUMMER_SPRING
1133,2391,WINTER_AUTUMN
1134,1502,SUMMER_SPRING
1134,1489,WINTER_AUTUMN
1135,1510,SUMMER_SPRING
1135,1364,WINTER_AUTUMN
1211,1135,SUMMER_SPRING
1211,1398,WINTER_AUTUMN
1212,1222,SUMMER_SPRING
1212,1683,WINTER_AUTUMN
1213,2090,SUMMER_SPRING
1213,2591,WINTER_AUTUMN
1214,4069,SUMMER_SPRING
1214,4243,WINTER_AUTUMN
1215,2088,SUMMER_SPRING
1215,2827,WINTER_AUTUMN
1221,1896,SUMMER_SPRING
1221,2480,WINTER_AUTUMN
1222,1847,SUMMER_SPRING
1222,1970,WINTER_AUTUMN
1223,1675,SUMMER_SPRING
1223,2318,WINTER_AUTUMN
1224,3003,SUMMER_SPRING
1224,3930,WINTER_AUTUMN
1225,2277,SUMMER_SPRING
1225,2839,WINTER_AUTUMN
1231,3558,SUMMER_SPRING
1231,4486,WINTER_AUTUMN
1232,4400,SUMMER_SPRING
1232,5125,WINTER_AUTUMN
1233,2448,SUMMER_SPRING
1233,2873,WINTER_AUTUMN
1234,1748,SUMMER_SPRING
1234,2633,WINTER_AUTUMN
1235,2806,SUMMER_SPRING
1235,3242,WINTER_AUTUMN
1411,2386,SUMMER_SPRING
1411,2752,WINTER_AUTUMN
1412,1458,SUMMER_SPRING
1412,1941,WINTER_AUTUMN
1413,1110,SUMMER_SPRING
1413,1272,WINTER_AUTUMN
1414,1677,SUMMER_SPRING
1414,2122,WINTER_AUTUMN
1421,1101,SUMMER_SPRING
1421,1326,WINTER_AUTUMN
1422,1185,SUMMER_SPRING
1422,1167,WINTER_AUTUMN
1423,1134,SUMMER_SPRING
1423,1385,WINTER_AUTUMN
1424,1733,SUMMER_SPRING
1424,2245,WINTER_AUTUMN
1431,1369,SUMMER_SPRING
1431,1717,WINTER_AUTUMN
1432,3060,SUMMER_SPRING
1432,3696,WINTER_AUTUMN
1433,2860,SUMMER_SPRING
1433,3169,WINTER_AUTUMN
1434,1899,SUMMER_SPRING
1434,2405,WINTER_AUTUMN
1511,1398,SUMMER_SPRING
1511,1497,WINTER_AUTUMN
1512,1382,SUMMER_SPRING
1512,1386,WINTER_AUTUMN
1513,2306,SUMMER_SPRING
1513,2576,WINTER_AUTUMN
1522,2735,SUMMER_SPRING
1522,2725,WINTER_AUTUMN
1523,1547,SUMMER_SPRING
1523,1376,WINTER_AUTUMN
1524,1677,SUMMER_SPRING
1524,1441,WINTER_AUTUMN
1531,1536,SUMMER_SPRING
1531,1752,WINTER_AUTUMN
1532,1655,SUMMER_SPRING
1532,1677,WINTER_AUTUMN
1533,3178,SUMMER_SPRING
1533,3328,WINTER_AUTUMN
1611,2138,SUMMER_SPRING
1611,2808,WINTER_AUTUMN
1612,1407,SUMMER_SPRING
1612,2227,WINTER_AUTUMN
1613,1412,SUMMER_SPRING
1613,1888,WINTER_AUTUMN
1614,1569,SUMMER_SPRING
1614,2307,WINTER_AUTUMN
1621,2669,SUMMER_SPRING
1621,2942,WINTER_AUTUMN
1622,3196,SUMMER_SPRING
1622,4495,WINTER_AUTUMN
1623,3505,SUMMER_SPRING
1623,4183,WINTER_AUTUMN
1624,2246,SUMMER_SPRING
1624,2721,WINTER_AUTUMN
1631,2002,SUMMER_SPRING
1631,2843,WINTER_AUTUMN
1632,2227,SUMMER_SPRING
1632,3137,WINTER_AUTUMN
1633,2241,SUMMER_SPRING
1633,3129,WINTER_AUTUMN
1634,1463,SUMMER_SPRING
1634,2352,WINTER_AUTUMN
1651,342,SUMMER_SPRING
1651,625,WINTER_AUTUMN
1652,26,SUMMER_SPRING
1652,14,WINTER_AUTUMN
1653,41,SUMMER_SPRING
1653,76,WINTER_AUTUMN
1654,159,SUMMER_SPRING
1654,410,WINTER_AUTUMN
1655,10,SUMMER_SPRING
1655,28,WINTER_AUTUMN
1711,3104,SUMMER_SPRING
1711,3578,WINTER_AUTUMN
1712,2987,SUMMER_SPRING
1712,3756,WINTER_AUTUMN
1713,1213,SUMMER_SPRING
1713,1492,WINTER_AUTUMN
1722,2790,SUMMER_SPRING
1722,3260,WINTER_AUTUMN
1723,2299,SUMMER_SPRING
1723,2857,WINTER_AUTUMN
1724,1564,SUMMER_SPRING
1724,1983,WINTER_AUTUMN
1731,2499,SUMMER_SPRING
1731,3262,WINTER_AUTUMN
1732,2811,SUMMER_SPRING
1732,3270,WINTER_AUTUMN
1733,2874,SUMMER_SPRING
1733,3574,WINTER_AUTUMN
1811,1771,SUMMER_SPRING
1811,2463,WINTER_AUTUMN
1812,1128,SUMMER_SPRING
1812,1340,WINTER_AUTUMN
1813,929,SUMMER_SPRING
1813,1405,WINTER_AUTUMN
1814,3270,SUMMER_SPRING
1814,3715,WINTER_AUTUMN
1821,1764,SUMMER_SPRING
1821,2081,WINTER_AUTUMN
1822,2392,SUMMER_SPRING
1822,3206,WINTER_AUTUMN
1823,1053,SUMMER_SPRING
1823,1267,WINTER_AUTUMN
1824,3163,SUMMER_SPRING
1824,3883,WINTER_AUTUMN
1831,6557,SUMMER_SPRING
1831,7819,WINTER_AUTUMN
1832,3281,SUMMER_SPRING
1832,4018,WINTER_AUTUMN
1833,4518,SUMMER_SPRING
1833,5265,WINTER_AUTUMN
1834,9022,SUMMER_SPRING
1834,9749,WINTER_AUTUMN
1911,2404,SUMMER_SPRING
1911,2788,WINTER_AUTUMN
1912,1772,SUMMER_SPRING
1912,2356,WINTER_AUTUMN
1913,690,SUMMER_SPRING
1913,857,WINTER_AUTUMN
1914,1510,SUMMER_SPRING
1914,1379,WINTER_AUTUMN
1915,1395,SUMMER_SPRING
1915,1677,WINTER_AUTUMN
1921,2018,SUMMER_SPRING
1921,2780,WINTER_AUTUMN
1922,2145,SUMMER_SPRING
1922,2620,WINTER_AUTUMN
1923,1321,SUMMER_SPRING
1923,1483,WINTER_AUTUMN
1924,1456,SUMMER_SPRING
1924,1535,WINTER_AUTUMN
1925,2964,SUMMER_SPRING
1925,3056,WINTER_AUTUMN
1931,2085,SUMMER_SPRING
1931,2547,WINTER_AUTUMN
1932,1534,SUMMER_SPRING
1932,2017,WINTER_AUTUMN
1933,1126,SUMMER_SPRING
1933,1275,WINTER_AUTUMN
1934,1807,SUMMER_SPRING
1934,2335,WINTER_AUTUMN
1935,2437,SUMMER_SPRING
1935,2647,WINTER_AUTUMN
2011,2711,SUMMER_SPRING
2011,3738,WINTER_AUTUMN
2012,2293,SUMMER_SPRING
2012,2705,WINTER_AUTUMN
2013,1837,SUMMER_SPRING
2013,2367,WINTER_AUTUMN
2022,1937,SUMMER_SPRING
2022,1947,WINTER_AUTUMN
2023,935,SUMMER_SPRING
2023,901,WINTER_AUTUMN
2024,960,SUMMER_SPRING
2024,1010,WINTER_AUTUMN
2031,1326,SUMMER_SPRING
2031,1565,WINTER_AUTUMN
2032,1072,SUMMER_SPRING
2032,1329,WINTER_AUTUMN
2033,908,SUMMER_SPRING
2033,1023,WINTER_AUTUMN
2211,2937,SUMMER_SPRING
2211,3770,WINTER_AUTUMN
2212,2564,SUMMER_SPRING
2212,3261,WINTER_AUTUMN
2213,2041,SUMMER_SPRING
2213,2567,WINTER_AUTUMN
2221,2148,SUMMER_SPRING
2221,2482,WINTER_AUTUMN
2222,1137,SUMMER_SPRING
2222,1370,WINTER_AUTUMN
2223,2216,SUMMER_SPRING
2223,2642,WINTER_AUTUMN
2232,1810,SUMMER_SPRING
2232,1941,WINTER_AUTUMN
2233,1036,SUMMER_SPRING
2233,1165,WINTER_AUTUMN
2234,1742,SUMMER_SPRING
2234,2028,WINTER_AUTUMN
2411,3329,SUMMER_SPRING
2411,4252,WINTER_AUTUMN
2412,2606,SUMMER_SPRING
2412,3105,WINTER_AUTUMN
2413,3959,SUMMER_SPRING
2413,4985,WINTER_AUTUMN
2422,925,SUMMER_SPRING
2422,1065,WINTER_AUTUMN
2423,842,SUMMER_SPRING
2423,1160,WINTER_AUTUMN
2424,1372,SUMMER_SPRING
2424,1772,WINTER_AUTUMN
2431,604,SUMMER_SPRING
2431,775,WINTER_AUTUMN
2432,2236,SUMMER_SPRING
2432,2922,WINTER_AUTUMN
2433,2588,SUMMER_SPRING
2433,2947,WINTER_AUTUMN
2511,1808,SUMMER_SPRING
2511,2384,WINTER_AUTUMN
2512,3194,SUMMER_SPRING
2512,4369,WINTER_AUTUMN
2513,1309,SUMMER_SPRING
2513,1709,WINTER_AUTUMN
2514,2066,SUMMER_SPRING
2514,2837,WINTER_AUTUMN
2515,2495,SUMMER_SPRING
2515,3145,WINTER_AUTUMN
2521,2627,SUMMER_SPRING
2521,3710,WINTER_AUTUMN
2522,1838,SUMMER_SPRING
2522,2385,WINTER_AUTUMN
2523,1593,SUMMER_SPRING
2523,2038,WINTER_AUTUMN
2524,1624,SUMMER_SPRING
2524,2060,WINTER_AUTUMN
2525,937,SUMMER_SPRING
2525,1418,WINTER_AUTUMN
2531,1294,SUMMER_SPRING
2531,1637,WINTER_AUTUMN
2532,1258,SUMMER_SPRING
2532,1534,WINTER_AUTUMN
2533,3378,SUMMER_SPRING
2533,4121,WINTER_AUTUMN
2534,2133,SUMMER_SPRING
2534,2891,WINTER_AUTUMN
2535,1479,SUMMER_SPRING
2535,2132,WINTER_AUTUMN
